id,category,genre
578080,"1,49,36,15,41,42","1,25,37,29"
550,"2,1,49,36,9,38,22,28,29,13,30,23,8,15,16,14,41,42,43,44",1
218620,"2,1,9,38,22,28,29,35,23,41,42,43","1,3"
4000,"2,1,49,36,47,9,38,48,27,22,29,13,30,23,8,17,42","23,28"
240,"1,27,22,23,8,15,16",1
72850,"2,22,29,30,18,23",3
105600,"2,1,49,36,9,38,22,28,29,23,41,42,43","1,25,23,3"
620,"2,1,9,38,39,24,22,28,29,13,51,30,23,15,17,14,41,42,43,44","1,25"
8930,"2,1,22,29,23,42",2
49520,"2,1,9,22,28,29,23,41,42,43","1,3"
400,"2,22,13,18,17,16,14,41,42,44",1
252490,"1,20,49,36,9,38,27,22,29,30,35,8,15,42","1,25,23,29,3"
346110,"2,1,20,9,22,28,30,23,8,17,42","1,25,23,29,3"
220,"2,22,29,13,18,23,16,41,42,44",1
219640,"1,22,28,29,30,8,17,43","1,23"
1250,"2,1,9,27,22,29,30,8,15,17",1
113200,"2,22,29","1,25,23,3"
377160,"2,22,28,23,41,42,43",3
107410,"2,1,49,36,47,9,38,48,22,29,13,30,18,25,17","1,28,2"
255710,"2,22,29,30,18,23,17,42","28,2"
222880,"1,9,27,22,28,29,30,8,17","1,23,2"
227300,"2,1,9,38,22,29,30,18,23,17,41,42,44","23,28"
221380,"2,1,22,29,13,30,23,15,25,17",2
381210,"1,49,36,9,38,27,22,28,29,23,41,42,43",1
204360,"2,1,49,36,37,9,38,39,24,27,22,28,29,23,25,41,42,43,44","1,25,4,23,3"
242760,"2,1,9,38,48,18,23","1,25,23,28"
203160,"2,1,22,28,29,23,41,42,43","1,25"
292030,"2,22,28,29,23,42,43",3
431960,"22,29,51,30,17","4,23,51,53,55,57"
206420,"2,1,9,22,28,29,30,23,43","1,25"
10180,"2,1,9,22,23,8",1
22380,"2,22,18,25,41,42","1,3"
55230,"2,1,9,22,29,18,23,41,42",1
42910,"2,1,9,24,22,28,29,25,41,42,43,44","1,3"
200710,"2,1,9,27,22,29,30,23","1,25,23,3"
24240,"2,1,9,22,29,23,15",1
413150,"2,1,9,38,48,39,24,22,28,29,23,41,42,44","23,3,28"
231430,"2,1,49,36,9,38,22,29,30,23,15",2
500,"2,1,9,22,28,13,23,8,15,25,16,14,43,44",1
20920,"2,22,29,18,23,25",3
8870,"2,22,28,29,23,42,43",1
33930,"2,1,49,36,9,38,13,18,17","1,28,2"
104900,"2,1,49,36,9,38,22,28,29,30,8,15,25,17,44","1,25,23,3"
300,"1,27,22,29,8,15,16",1
489830,"2,22,18,23,41,42",3
211820,"2,1,49,36,9,38,27,22,29,30","1,25,4,23,3"
48700,"2,1,22,29,30","1,3"
244850,"2,1,49,36,9,22,30,18,23,17","1,23,28,2"
251570,"2,1,49,36,47,9,38,48,27,22,28,29,17,42,43","1,25,23,3,28,2,70"
8190,"2,22,28,23,43","1,25"
8980,"2,1,9,22,18,23","1,3"
265930,"2,1,24,22,28,29,30,23,25,17,43,44","4,23,28"
232090,"2,1,49,36,9,38,22,28,29,30,35,8,17,42,43",1
380,"2,22,13,18,23,15,16,14,44",1
42700,"2,1,9,22,18,8",1
205100,"2,22,28,23,42,43","1,25"
289070,"2,1,49,36,47,37,24,27,22,29,30,32,42,44",2
238460,"2,1,49,36,37,9,38,39,24,22,28,29,30,23,15,25,17,41,42,43,44","1,25,4,23"
391540,"2,29,41,42","23,3"
35450,"1,49,36,22,29,30,8,15,17","1,29,28"
10500,"2,1,49,36,47,9,38,48,22,29,15",2
239140,"2,1,49,36,9,38,22,28,29,30,23,8,17,42,43","1,3"
214950,"2,1,49,36,47,9,38,48,29,23",2
374320,"2,1,9,22,28,29,41,42,43",1
420,"2,22,13,18,23,15,16,14,44",1
48000,"2,22,28,29,23,41,42,43","1,25,23"
379720,"2,1,9,22,29,18,23,41,42",1
477160,"2,1,49,36,9,39,24,22,28,29,30,23,15,43,44","25,4,23,28"
311210,"2,1,9,24,22,28,29,30,8,25,41,42,43,44","1,25"
202970,"2,1,9,22,28,29,23,8,25,43",1
40800,"2,22,28,29,25,41,42,43",23
264710,"2,22,28,29,31,43","25,23"
233450,"2,22,29,30,23,17","23,28,2"
207610,"2,22,28,29",25
282070,"2,22,28,29,30,23","25,23,28"
238320,"2,22,28,29,13,23,43","1,25,23"
203140,"2,22,29,18,23",1
35720,"2,1,9,38,39,24,27,22,28,29,30,23,17,41,42,43,44","1,25,23"
250900,"2,1,24,22,28,29,23,43,44",1
207140,"2,1,49,36,37,24,27,22,28,29,30,23,15,17,41,42,43,44","1,4,23,9,18"
57300,"2,22,28,13,17,14,41,42,43,44","1,25,23"
65980,"2,1,22,29,30,23,42",2
210770,"2,1,9,38,22,28,29,23,25,43","1,23,2"
219150,"2,22,28,29,23,25","1,23"
