id,name
1,Multi-player
27,Cross-Platform Multiplayer
22,Steam Achievements
29,Steam Trading Cards
13,Captions available
30,Steam Workshop
35,In-App Purchases
18,Partial Controller Support
8,Valve Anti-Cheat enabled
15,Stats
17,Includes level editor
14,Commentary available
41,Remote Play on Phone
42,Remote Play on Tablet
28,Full controller support
43,Remote Play on TV
49,Против игроков
36,Против игроков (по сети)
2,Single-player
47,LAN PvP
9,Co-op
38,Online Co-op
48,LAN Co-op
23,Steam Cloud
16,Includes Source SDK
44,Remote Play Together
39,Shared/Split Screen Co-op
24,Shared/Split Screen
51,Steam Workshop
20,MMO
37,Shared/Split Screen PvP
31,VR Support
25,Steam Leaderboards
32,Steam Turn Notifications
19,Mods
6,Mods (require HL2)
40,SteamVR Collectibles
33,Native Steam Controller Support
