id,category,genre
440,"1,27,22,29,13,30,35,18,8,15,17,14,41,42","1,37"
730,"1,22,28,29,30,35,8,15,41,42,43","1,37"
578080,"1,49,36,15,41,42","1,25,37,29"
304930,"2,1,49,36,47,9,38,48,22,29,30,35,23,8,15,17,42","1,25,4,37,23"
550,"2,1,49,36,9,38,22,28,29,13,30,23,8,15,16,14,41,42,43,44",1
218620,"2,1,9,38,22,28,29,35,23,41,42,43","1,3"
4000,"2,1,49,36,47,9,38,48,27,22,29,13,30,23,8,17,42","23,28"
230410,"2,1,9,38,22,28,29,30,35,41,42","1,37,3"
240,"1,27,22,23,8,15,16",1
444090,"1,49,36,22,28,29,35,41,42","1,25,37,29,2"
72850,"2,22,29,30,18,23",3
105600,"2,1,49,36,9,38,22,28,29,23,41,42,43","1,25,23,3"
620,"2,1,9,38,39,24,22,28,29,13,51,30,23,15,17,14,41,42,43,44","1,25"
8930,"2,1,22,29,23,42",2
271590,"2,1,49,36,9,38,22,28,41,42,43","1,25"
49520,"2,1,9,22,28,29,23,41,42,43","1,3"
301520,"1,20,49,36,9,38,22,29,35","1,37,23,29,3,28"
252950,"2,1,49,36,37,9,38,39,24,27,22,28,29,30,23,15,41,42,43,44","1,23,9,18"
400,"2,22,13,18,17,16,14,41,42,44",1
236390,"2,1,20,49,36,9,38,27,22,28,35,41,42","1,37,29,28"
252490,"1,20,49,36,9,38,27,22,29,30,35,8,15,42","1,25,23,29,3"
346110,"2,1,20,9,22,28,30,23,8,17,42","1,25,23,29,3"
220,"2,22,29,13,18,23,16,41,42,44",1
291550,"2,1,49,36,37,9,38,39,24,27,22,28,29,41,42,43,44","1,37,23"
219640,"1,22,28,29,30,8,17,43","1,23"
304050,"1,20,49,36,9,22,29,30,35,18","1,25,4,37,29,3"
238960,"2,1,20,49,36,9,22,28,29,35,42","1,25,37,23,29,3"
1250,"2,1,9,27,22,29,30,8,15,17",1
113200,"2,22,29","1,25,23,3"
224260,"1,9,27,22,13,31,30,18,23,8,17,16","1,37,23"
630,"2,1,9,22,13,23,15,17,44",1
291480,"1,20,49,36,9,38,22,29,35","1,25,37,29,3,28,2"
377160,"2,22,28,23,41,42,43",3
107410,"2,1,49,36,47,9,38,48,22,29,13,30,18,25,17","1,28,2"
255710,"2,22,29,30,18,23,17,42","28,2"
222880,"1,9,27,22,28,29,30,8,17","1,23,2"
227300,"2,1,9,38,22,29,30,18,23,17,41,42,44","23,28"
113400,"1,20,22","1,37,29"
221380,"2,1,22,29,13,30,23,15,25,17",2
333930,"1,49,36,22,29,35","1,37"
381210,"1,49,36,9,38,27,22,28,29,23,41,42,43",1
386360,"1,22,28,29","1,37"
204360,"2,1,49,36,37,9,38,39,24,27,22,28,29,23,25,41,42,43,44","1,25,4,23,3"
242760,"2,1,9,38,48,18,23","1,25,23,28"
203160,"2,1,22,28,29,23,41,42,43","1,25"
292030,"2,22,28,29,23,42,43",3
431960,"22,29,51,30,17","4,23,51,53,55,57"
206420,"2,1,9,22,28,29,30,23,43","1,25"
10180,"2,1,9,22,23,8",1
99900,"2,1,20,9,22,29,35,18","1,25,4,37,23,29,3"
208090,"1,9,22,29,18,23,8","1,37,23"
550650,"1,22,29,35","1,37"
273110,"2,1,20,9,22,29,13,35","1,4,37,29"
22380,"2,22,18,25,41,42","1,3"
55230,"2,1,9,22,29,18,23,41,42",1
42910,"2,1,9,24,22,28,29,25,41,42,43,44","1,3"
200710,"2,1,9,27,22,29,30,23","1,25,23,3"
24240,"2,1,9,22,29,23,15",1
413150,"2,1,9,38,48,39,24,22,28,29,23,41,42,44","23,3,28"
273350,"2,1,9,28,29,8","1,37"
231430,"2,1,49,36,9,38,22,29,30,23,15",2
500,"2,1,9,22,28,13,23,8,15,25,16,14,43,44",1
20920,"2,22,29,18,23,25",3
8870,"2,22,28,29,23,42,43",1
33930,"2,1,49,36,9,38,13,18,17","1,28,2"
104900,"2,1,49,36,9,38,22,28,29,30,8,15,25,17,44","1,25,23,3"
300,"1,27,22,29,8,15,16",1
489830,"2,22,18,23,41,42",3
363970,"2,22,29,35,23,15","25,4,37,23,3,28,2"
211820,"2,1,49,36,9,38,27,22,29,30","1,25,4,23,3"
209870,"1,22,29,17","1,37"
48700,"2,1,22,29,30","1,3"
244850,"2,1,49,36,9,22,30,18,23,17","1,23,28,2"
251570,"2,1,49,36,47,9,38,48,27,22,28,29,17,42,43","1,25,23,3,28,2,70"
8190,"2,22,28,23,43","1,25"
316010,"2,1,9,24,22,28,35,23,44","37,2"
8980,"2,1,9,22,18,23","1,3"
265930,"2,1,24,22,28,29,30,23,25,17,43,44","4,23,28"
319630,"2,22,28,29,23,41,42,43","1,25"
232090,"2,1,49,36,9,38,22,28,29,30,35,8,17,42,43",1
253710,"2,1,9,38,22,35","1,25,37,28,18"
380,"2,22,13,18,23,15,16,14,44",1
555570,"1,20,49,36,9,38,22,29,35","1,37,23,29,3"
346900,"2,22,29,23","4,37,23"
42700,"2,1,9,22,18,8",1
