id,year,review_score,total_positive,total_negative,total_reviews,Players
9940,2014,8,696,133,829,65542
94400,2014,8,4966,681,5647,787983
95400,2014,8,2678,155,2833,446523
116100,2014,5,185,114,299,32496
204530,2014,8,1788,108,1896,189415
204630,2014,8,1822,214,2036,280667
205090,2014,5,64,59,123,15670
205990,2014,5,521,261,782,86204
209060,2014,8,489,90,579,55790
214190,2014,5,2406,1563,3969,242221
214550,2014,8,443,106,549,223070
216260,2014,8,416,34,450,23321
218820,2014,6,1415,577,1992,307315
219700,2014,5,435,242,677,225215
221180,2014,8,316,34,350,57425
221540,2014,8,1477,333,1810,206227
222420,2014,8,753,147,900,95954
223410,2014,6,439,182,621,27840
224040,2014,6,186,52,238,8596
224480,2014,8,5606,412,6018,581181
225280,2014,8,915,151,1066,198642
225600,2014,6,2636,1043,3679,610347
226560,2014,5,465,328,793,46439
226580,2014,6,982,289,1271,168191
226840,2014,8,4040,934,4974,764290
227060,2014,5,216,137,353,54697
227560,2014,5,313,158,471,60247
230310,2014,4,104,192,296,32717
230840,2014,5,723,739,1462,77822
230860,2014,8,542,50,592,66022
232790,2014,8,5048,1004,6052,419666
232890,2014,5,3458,2359,5817,828019
233150,2014,8,2917,283,3200,314885
233290,2014,8,7053,1366,8419,514458
233980,2014,8,5384,389,5773,446738
235210,2014,8,1965,361,2326,292888
235320,2014,8,802,56,858,55911
235460,2014,8,12041,973,13014,691324
236130,2014,5,237,165,402,53052
236150,2014,6,2495,1017,3512,586707
236470,2014,5,109,70,179,14207
236930,2014,8,450,9,459,20146
237890,2014,6,1134,408,1542,193030
237970,2014,6,48,18,66,8162
237990,2014,8,8984,993,9977,747734
239120,2014,8,897,216,1113,159583
239250,2014,8,2068,397,2465,170731
239430,2014,8,1050,191,1241,120472
239840,2014,6,1319,477,1796,112025
240760,2014,8,5928,1224,7152,626811
240970,2014,8,387,29,416,60456
241240,2014,8,856,76,932,227376
241260,2014,8,1709,138,1847,142209
242640,2014,8,3949,820,4769,485922
243120,2014,8,2317,501,2818,217097
243220,2014,8,433,65,498,31614
243930,2014,5,1683,860,2543,169288
244210,2014,8,12522,1689,14211,826288
244430,2014,8,458,92,550,98490
244590,2014,5,738,376,1114,332826
244950,2014,6,118,30,148,12995
245050,2014,5,81,96,177,47719
245300,2014,5,78,54,132,14521
246420,2014,9,4550,155,4705,299922
246680,2014,5,252,147,399,43521
246720,2014,4,27,48,75,3813
246800,2014,4,30,46,76,14550
246940,2014,2,70,283,353,19077
247000,2014,6,2623,842,3465,601352
247950,2014,4,874,2710,3584,183744
248310,2014,9,3226,138,3364,169651
248390,2014,8,6193,822,7015,509631
248530,2014,6,596,204,800,106361
248610,2014,8,4841,263,5104,549148
249190,2014,5,129,158,287,40240
249230,2014,6,2441,997,3438,342772
249610,2014,5,38,34,72,28560
249650,2014,5,1528,943,2471,305941
250050,2014,9,913,29,942,80425
250180,2014,8,4728,500,5228,651482
250260,2014,8,3677,350,4027,239119
250560,2014,6,923,233,1156,149949
250580,2014,5,894,405,1299,151964
250600,2014,8,18125,1534,19659,115204
250620,2014,8,3457,531,3988,194268
250640,2014,8,253,56,309,27093
