id,year,review_score,total_positive,total_negative,total_reviews,Players
40980,2016,6,320,92,412,248308
45420,2016,7,10,1,11,314
96100,2016,8,7045,1108,8153,754043
115800,2016,8,3002,415,3417,251798
210970,2016,8,5493,1046,6539,494237
219990,2016,8,21546,1725,23271,1464229
223100,2016,5,5434,4415,9849,600976
230270,2016,9,1389,62,1451,118689
232450,2016,5,748,381,1129,237212
236010,2016,5,16,13,29,4923
236870,2016,6,17138,4724,21862,1534824
237870,2016,5,3587,1598,5185,369351
240440,2016,8,392,42,434,26507
241760,2016,6,107,34,141,10282
251110,2016,8,527,68,595,16562
251230,2016,6,260,78,338,28088
251270,2016,8,364,26,390,24226
251450,2016,4,66,104,170,36062
252850,2016,6,1405,518,1923,249845
253190,2016,5,582,306,888,64602
253840,2016,8,1501,136,1637,73427
254300,2016,6,124,48,172,36236
257850,2016,8,9406,565,9971,595090
262120,2016,6,454,152,606,70300
262510,2016,6,28,11,39,1371
262630,2016,7,12,2,14,501
263980,2016,8,5641,397,6038,521927
265000,2016,8,434,63,497,38487
265470,2016,8,95,14,109,2148
268360,2016,5,149,68,217,14600
269170,2016,8,596,51,647,63858
269310,2016,5,406,194,600,48803
269710,2016,6,506,132,638,161430
270070,2016,5,30,14,44,1343
270130,2016,8,1108,163,1271,92049
270210,2016,8,3748,255,4003,156009
270270,2016,5,320,145,465,25521
270410,2016,5,22,26,48,3830
271240,2016,6,2512,801,3313,499550
271920,2016,8,255,38,293,106888
271970,2016,8,134,13,147,8280
273800,2016,5,37,53,90,11336
273890,2016,3,4,25,29,1360
274270,2016,8,1358,181,1539,146959
274500,2016,8,1309,89,1398,94477
275850,2016,5,43397,41797,85194,1396577
277390,2016,8,98,16,114,6649
277700,2016,8,113,12,125,13159
278100,2016,8,527,73,600,76653
279070,2016,8,76,11,87,7217
279900,2016,5,120,53,173,15864
280160,2016,8,3058,370,3428,287729
280520,2016,8,677,165,842,76215
281200,2016,5,213,104,317,51949
281610,2016,6,2451,642,3093,102014
281640,2016,8,1405,134,1539,154166
281990,2016,8,26902,6152,33054,1967015
282560,2016,4,1072,3341,4413,180587
283160,2016,8,848,90,938,52810
283640,2016,8,6030,474,6504,400674
284100,2016,5,80,47,127,8944
284410,2016,6,40,16,56,7705
285070,2016,6,490,135,625,108601
286240,2016,8,246,19,265,16563
288100,2016,5,10,7,17,1150
288140,2016,5,393,234,627,29063
288220,2016,8,166,16,182,14314
290000,2016,6,176,45,221,20426
290870,2016,6,58,17,75,3656
291010,2016,5,2185,1023,3208,320602
291410,2016,8,3109,688,3797,538747
292730,2016,5,6740,9520,16260,869560
296030,2016,7,27,5,32,2716
297450,2016,5,79,56,135,8049
297660,2016,7,38,4,42,2048
298050,2016,6,2679,1117,3796,243222
298420,2016,6,11,3,14,651
298560,2016,8,209,38,247,29606
298900,2016,5,2889,2542,5431,236698
299250,2016,4,194,298,492,50077
299340,2016,5,92,102,194,27685
299380,2016,7,10,1,11,189
299480,2016,6,559,233,792,80072
299800,2016,8,50,3,53,7307
300060,2016,5,691,546,1237,81212
300630,2016,5,57,28,85,5017
301650,2016,8,444,39,483,38993
301930,2016,7,18,2,20,1690
303310,2016,8,374,7,381,8530
303720,2016,5,31,15,46,31878
304430,2016,9,16902,786,17688,669904
306000,2016,5,38,44,82,7218
306760,2016,8,1595,370,1965,129459
307940,2016,6,227,75,302,13838
311010,2016,8,501,58,559,22816
311240,2016,8,1247,106,1353,38650
311690,2016,8,14732,969,15701,1144928
312560,2016,8,156,16,172,8093
312980,2016,8,216,29,245,11249
313630,2016,8,1651,394,2045,140276
314010,2016,8,480,117,597,133835
314180,2016,8,247,6,253,25164
314240,2016,5,256,180,436,32705
314330,2016,7,41,5,46,3530
314370,2016,6,77,23,100,1269
