id,year,review_score,total_positive,total_negative,total_reviews,Players
227860,2017,5,2341,2106,4447,275014
228360,2017,8,867,54,921,61757
234270,2017,8,634,47,681,58710
235380,2017,5,2155,1572,3727,129872
236110,2017,6,9170,3228,12398,2642504
237850,2017,8,2481,472,2953,186701
240720,2017,6,7782,1956,9738,948332
241300,2017,8,51,7,58,2260
244030,2017,5,769,565,1334,87217
244750,2017,8,75,10,85,4694
246920,2017,8,98,8,106,10974
252090,2017,8,53,10,63,2410
252470,2017,8,1503,362,1865,100689
253230,2017,9,7338,100,7438,187728
256460,2017,8,316,34,350,16200
262810,2017,5,66,53,119,7210
268910,2017,9,29947,1151,31098,1735419
268990,2017,8,305,13,318,17174
272270,2017,5,1835,862,2697,206681
272620,2017,8,186,26,212,11886
274520,2017,8,2844,154,2998,171170
280180,2017,8,902,185,1087,68710
285190,2017,5,5984,7452,13436,680572
285900,2017,5,11034,4775,15809,1689567
286000,2017,6,1601,421,2022,300539
288860,2017,6,68,20,88,4917
290020,2017,8,97,21,118,8844
291690,2017,6,45,14,59,2621
293780,2017,9,3223,117,3340,241677
295670,2017,6,193,49,242,14753
296300,2017,6,4038,1209,5247,166473
296790,2017,6,18,5,23,663
299400,2017,8,87,9,96,3005
299950,2017,8,408,94,502,24477
300380,2017,8,3617,685,4302,214682
304530,2017,5,1394,941,2335,82676
305620,2017,8,34834,3057,37891,1875963
308060,2017,6,432,133,565,45330
308600,2017,8,89,2,91,4312
311290,2017,6,1472,592,2064,133510
312430,2017,5,120,96,216,10104
312520,2017,8,966,168,1134,65076
312650,2017,8,130,31,161,8616
312660,2017,8,6266,888,7154,715583
313390,2017,8,78,17,95,5839
313780,2017,8,524,107,631,27395
314590,2017,8,53,13,66,7385
317370,2017,7,40,9,49,6920
318970,2017,8,365,51,416,22302
322110,2017,8,2075,137,2212,113055
322750,2017,8,173,36,209,8275
326360,2017,5,369,180,549,140653
328590,2017,6,131,36,167,9217
331480,2017,8,405,51,456,20399
331870,2017,8,733,138,871,58771
332270,2017,7,24,5,29,1331
332310,2017,6,7792,2309,10101,752946
332540,2017,8,50,1,51,2613
336300,2017,8,245,42,287,26034
337340,2017,9,4689,84,4773,57511
338810,2017,6,187,59,246,70254
339250,2017,5,10,5,15,683
339590,2017,7,41,8,49,12031
340580,2017,8,241,29,270,19799
341040,2017,6,39,12,51,1364
342150,2017,5,303,222,525,121259
342190,2017,6,91,23,114,7468
343860,2017,8,1495,237,1732,76114
344240,2017,5,338,164,502,24324
344740,2017,8,554,92,646,43874
347290,2017,6,354,146,500,24511
347600,2017,8,199,35,234,7231
348160,2017,7,40,3,43,1136
348800,2017,7,14,1,15,6811
349790,2017,8,101,23,124,10161
350880,2017,7,17,4,21,604
352460,2017,5,2733,1411,4144,331065
352550,2017,4,695,1337,2032,65065
355010,2017,6,50,19,69,5714
355180,2017,8,9177,1994,11171,2044268
355280,2017,7,37,8,45,32754
355370,2017,7,27,3,30,1444
355790,2017,8,1081,264,1345,142380
356190,2017,6,13464,3940,17404,952284
357190,2017,8,1170,172,1342,126699
357310,2017,6,978,259,1237,71974
357650,2017,6,167,60,227,13345
359340,2017,7,10,2,12,2459
359420,2017,7,19,1,20,651
359840,2017,8,178,14,192,23270
359940,2017,6,116,49,165,6625
360830,2017,6,1928,532,2460,156754
361370,2017,3,1,10,11,430
364050,2017,6,870,222,1092,61819
364630,2017,6,104,33,137,8469
364740,2017,7,11,1,12,119196
365160,2017,8,972,154,1126,52920
365360,2017,8,3877,481,4358,139426
365810,2017,6,454,174,628,37128
366090,2017,8,1358,220,1578,130016
366640,2017,6,138,52,190,14015
366870,2017,8,284,66,350,14326
366910,2017,5,729,337,1066,48486
367080,2017,8,127,22,149,10341
367520,2017,9,21467,959,22426,999648
368000,2017,6,41,12,53,5042
368070,2017,5,2354,1915,4269,228348
368180,2017,8,129,23,152,10894
368390,2017,8,412,16,428,10229
370440,2017,5,123,68,191,3131
371520,2017,6,454,164,618,56228
372080,2017,7,29,4,33,1549
372330,2017,5,37,21,58,10696
373930,2017,6,1856,703,2559,117416
374040,2017,8,9296,1936,11232,914016
375580,2017,6,34,13,47,16792
375750,2017,8,205,15,220,18155
377060,2017,6,162,61,223,4562
377320,2017,7,13,3,16,144
378350,2017,7,11,2,13,333
378540,2017,6,2236,703,2939,161690
378860,2017,6,2828,1102,3930,264945
380810,2017,8,75,1,76,1986
380860,2017,7,20,5,25,504
380920,2017,7,37,6,43,967
381020,2017,8,547,41,588,31731
382360,2017,5,139,73,212,11056
383980,2017,8,3705,434,4139,286514
384250,2017,5,83,52,135,25179
384740,2017,6,453,185,638,47217
385410,2017,6,10,4,14,34741
386140,2017,5,34,18,52,12957
386180,2017,5,7380,4013,11393,1727005
386200,2017,7,18,3,21,346
386620,2017,8,1015,130,1145,107391
386710,2017,5,10,11,21,1365
386770,2017,6,72,22,94,6731
386930,2017,5,40,48,88,3085
387100,2017,7,18,2,20,858
388370,2017,6,97,39,136,14297
388550,2017,5,13,9,22,3957
388910,2017,7,25,2,27,599
388960,2017,5,23,16,39,13777
389220,2017,5,114,49,163,18823
389260,2017,8,58,8,66,3477
389730,2017,8,10670,1748,12418,541238
390030,2017,8,229,53,282,12783
390620,2017,7,26,2,28,8911
391640,2017,6,17,7,24,2874
391650,2017,7,13,1,14,4707
392110,2017,8,5945,1350,7295,750761
392280,2017,5,127,62,189,5755
392610,2017,8,55,3,58,634
393080,2017,5,754,877,1631,194722
393220,2017,7,30,1,31,1981
394430,2017,7,37,2,39,1189
394490,2017,4,12,30,42,917
396350,2017,8,253,9,262,7012
396750,2017,8,3078,728,3806,290326
397310,2017,8,248,57,305,17224
397810,2017,4,6,16,22,960
397850,2017,7,10,1,11,349
397900,2017,5,4414,2713,7127,1457596
398140,2017,6,27,11,38,3713
401710,2017,6,395,119,514,45668
401810,2017,8,468,43,511,28341
402130,2017,5,278,241,519,25191
402330,2017,8,1646,142,1788,49786
404530,2017,8,204,28,232,12972
404540,2017,8,973,126,1099,86553
404590,2017,5,1279,991,2270,78646
404680,2017,8,1864,221,2085,90716
