id,year,review_score,total_positive,total_negative,total_reviews,Players
206500,2018,8,6783,1214,7997,1823483
233610,2018,8,3103,185,3288,169523
249630,2018,8,1651,218,1869,126220
263720,2018,6,236,94,330,20480
268770,2018,8,89,5,94,2262
282680,2018,6,68,21,89,5953
285920,2018,8,3316,648,3964,489971
286300,2018,7,33,2,35,1515
287630,2018,8,396,49,445,17993
291860,2018,8,4147,237,4384,295630
292330,2018,5,158,123,281,14040
299740,2018,5,14956,6673,21629,1123426
301840,2018,8,170,32,202,9691
302670,2018,6,3730,1594,5324,436655
305940,2018,6,348,136,484,29603
307150,2018,5,19,12,31,1397
314630,2018,7,14,2,16,465
315460,2018,8,2222,186,2408,166057
318100,2018,5,929,829,1758,103699
320240,2018,6,1970,684,2654,146235
322450,2018,8,54,2,56,2565
323190,2018,8,10959,1636,12595,679334
324510,2018,6,537,178,715,28943
326160,2018,5,821,766,1587,50554
327090,2018,5,1327,710,2037,118244
327760,2018,7,23,3,26,518
327860,2018,8,1044,238,1282,101445
331690,2018,8,346,54,400,16287
334940,2018,8,132,7,139,3909
335620,2018,8,590,43,633,21435
336940,2018,8,61,4,65,1650
337290,2018,8,66,5,71,5505
338330,2018,7,25,4,29,1428
339720,2018,7,16,3,19,824
340440,2018,6,28,9,37,5573
341710,2018,6,134,54,188,10429
342560,2018,9,1178,39,1217,53190
345230,2018,5,22,12,34,511
346500,2018,7,33,1,34,1212
347000,2018,5,57,25,82,2382
349250,2018,8,109,2,111,3097
351100,2018,8,457,75,532,35601
356450,2018,8,50,9,59,1114
359100,2018,8,235,32,267,7638
361230,2018,8,58,1,59,692
362310,2018,7,31,6,37,2741
367240,2018,5,20,29,49,5040
369560,2018,8,91,16,107,6422
371140,2018,8,67,11,78,6312
375530,2018,8,1370,131,1501,40073
377250,2018,7,16,1,17,503
377260,2018,5,145,70,215,64192
379430,2018,6,19839,5990,25829,827988
381750,2018,5,110,60,170,8203
384200,2018,6,17,7,24,877
385270,2018,5,765,350,1115,238249
389140,2018,8,308,11,319,5018
390710,2018,8,133,20,153,24827
391140,2018,8,51,3,54,4155
393520,2018,8,610,67,677,28974
396710,2018,8,127,5,132,6613
400280,2018,7,15,1,16,226
400350,2018,6,13,4,17,512
404200,2018,8,296,65,361,25063
