id,name
1,Multi-player
49,PvP
36,Online PvP
15,Stats
41,Remote Play on Phone
42,Remote Play on Tablet
2,Single-player
9,Co-op
38,Online Co-op
22,Steam Achievements
28,Full controller support
29,Steam Trading Cards
13,Captions available
30,Steam Workshop
23,Steam Cloud
8,Valve Anti-Cheat enabled
16,Includes Source SDK
14,Commentary available
43,Remote Play on TV
44,Remote Play Together
35,In-App Purchases
47,LAN PvP
48,LAN Co-op
27,Cross-Platform Multiplayer
17,Includes level editor
18,Partial Controller Support
39,Shared/Split Screen Co-op
24,Shared/Split Screen
51,Steam Workshop
20,MMO
25,Steam Leaderboards
37,Shared/Split Screen PvP
32,Steam Turn Notifications
31,VR Support
40,SteamVR Collectibles
