id,year,review_score,total_positive,total_negative,total_reviews,Players
220,2004,9,54855,1761,56616,8877286
240,2004,9,65877,2798,68675,15001876
240,2004,9,65877,2798,68675,15001876
300,2010,8,9014,937,9951,4419447
380,2006,8,6168,352,6520,3917529
400,2007,9,43124,794,43918,9971481
420,2007,9,11237,495,11732,3281382
440,2007,8,446494,28380,474874,50191347
440,2007,8,446494,28380,474874,50191347
500,2008,9,14637,731,15368,4604963
550,2009,9,210383,6339,216722,23143723
550,2009,9,210383,6339,216722,23143723
620,2011,9,113776,1338,115114,13062700
630,2010,9,16119,777,16896,6667813
730,2012,8,2160849,277888,2438737,46305966
730,2012,8,2160849,277888,2438737,46305966
1200,2006,8,1335,176,1511,849053
1250,2009,9,49902,2286,52188,7395545
1520,2006,8,1875,304,2179,708655
1530,2008,8,337,65,402,180479
1840,2012,8,11458,738,12196,1852569
2450,2010,6,598,179,777,118504
2820,2008,8,1523,239,1762,482728
2870,2013,5,2632,3838,6470,343046
3540,2008,8,315,20,335,181811
3590,2009,9,11809,297,12106,1647028
3620,2009,8,367,20,387,75495
3830,2006,9,7378,376,7754,1207186
4000,2006,9,297556,12631,310187,18576379
4000,2006,9,297556,12631,310187,18576379
4920,2012,8,7798,1337,9135,1993899
6120,2010,8,1551,186,1737,312665
6600,2007,5,36,32,68,41006
7520,2011,5,2754,1849,4603,703263
8190,2010,8,29030,2534,31564,4161156
8850,2010,8,7815,831,8646,1558279
8870,2013,9,69661,3237,72898,4563627
8930,2010,9,115676,4236,119912,12701498
8970,2010,6,31,12,43,8860
9500,2007,5,153,91,244,176440
9880,2011,6,1883,701,2584,1691316
9940,2014,8,696,133,829,65542
9970,2011,3,5,24,29,5660
10180,2009,8,26250,2398,28648,5267226
10220,2012,4,525,919,1444,84486
10500,2009,8,13232,1263,14495,3491439
10680,2010,8,8114,981,9095,1231126
11240,2008,5,287,295,582,68979
11280,2008,8,811,113,924,88249
11330,2009,8,548,120,668,65629
11340,2009,6,493,149,642,57562
12900,2008,9,8586,351,8937,1561882
13000,2008,8,48,4,52,19566
13140,2009,5,1457,679,2136,3014457
13210,2009,8,2179,229,2408,902895
15400,2009,8,85,20,105,34113
15500,2008,6,393,135,528,90431
15520,2009,8,551,98,649,148747
15560,2011,6,714,228,942,156626
15620,2009,8,5238,654,5892,2492053
15740,2010,6,376,131,507,108580
15750,2010,8,682,117,799,153101
16500,2008,7,10,1,11,3261
16600,2008,8,165,33,198,118998
17100,2008,8,161,31,192,48123
17120,2008,8,47,10,57,25293
17140,2008,6,109,36,145,29581
17180,2008,6,15,6,21,5953
17500,2008,8,4607,715,5322,2573292
17570,2010,8,3306,471,3777,1077057
17580,2009,8,680,131,811,410346
17710,2011,6,1575,404,1979,640448
17740,2008,8,586,89,675,174440
18000,2008,8,385,40,425,161617
18020,2008,8,116,20,136,64438
18040,2010,8,504,29,533,91932
18050,2010,8,120,18,138,30765
18070,2011,8,145,36,181,52893
18500,2008,9,3268,104,3372,558114
18600,2009,5,12,10,22,4016
18700,2009,5,727,313,1040,324236
18820,2010,8,612,149,761,795021
19020,2010,5,15,7,22,7589
19030,2010,6,64,18,82,9999
19200,2008,5,214,177,391,39071
19320,2012,5,6,7,13,2751
19500,2008,4,12,46,58,6247
20200,2008,4,6,10,16,5171
20500,2009,8,5896,620,6516,1010775
20570,2010,8,1537,137,1674,1285276
20700,2008,6,48,15,63,14750
20710,2008,8,55,11,66,31070
20820,2010,8,962,61,1023,255073
20920,2012,8,31185,3823,35008,4585616
21100,2011,6,4782,1800,6582,1096875
21300,2008,6,16,5,21,14840
21400,2008,5,9,5,14,7785
21640,2009,6,108,33,141,29726
21690,2009,8,7310,1211,8521,1005089
22000,2008,8,3180,204,3384,986510
22200,2009,8,1876,328,2204,320458
22230,2011,8,2419,210,2629,636120
22310,2009,5,368,209,577,44059
22350,2011,5,3049,2033,5082,1700604
22380,2010,9,55309,2336,57645,5222533
22500,2009,8,125,16,141,20588
22600,2010,8,2278,384,2662,1289109
