app_id,review_score,review_score_desc,total_positive,total_negative,total_reviews
220,9,Overwhelmingly Positive,54855,1761,56616
240,9,Overwhelmingly Positive,65877,2798,68675
300,8,Very Positive,9014,937,9951
380,8,Very Positive,6168,352,6520
400,9,Overwhelmingly Positive,43124,794,43918
420,9,Overwhelmingly Positive,11237,495,11732
440,8,Very Positive,446494,28380,474874
500,9,Overwhelmingly Positive,14637,731,15368
550,9,Overwhelmingly Positive,210383,6339,216722
620,9,Overwhelmingly Positive,113776,1338,115114
630,9,Overwhelmingly Positive,16119,777,16896
730,8,Very Positive,2160849,277888,2438737
852,0,No user reviews,0,0,0
1200,8,Very Positive,1335,176,1511
1250,9,Overwhelmingly Positive,49902,2286,52188
1520,8,Very Positive,1875,304,2179
1530,8,Very Positive,337,65,402
1840,8,Very Positive,11458,738,12196
2450,6,Mostly Positive,598,179,777
2820,8,Very Positive,1523,239,1762
2870,5,Mixed,2632,3838,6470
3540,8,Very Positive,315,20,335
3590,9,Overwhelmingly Positive,11809,297,12106
3620,8,Very Positive,367,20,387
3830,9,Overwhelmingly Positive,7378,376,7754
4000,9,Overwhelmingly Positive,297556,12631,310187
4920,8,Very Positive,7798,1337,9135
6120,8,Very Positive,1551,186,1737
6600,5,Mixed,36,32,68
7520,5,Mixed,2754,1849,4603
8190,8,Very Positive,29030,2534,31564
8740,0,No user reviews,0,0,0
8850,8,Very Positive,7815,831,8646
8870,9,Overwhelmingly Positive,69661,3237,72898
8930,9,Overwhelmingly Positive,115676,4236,119912
8955,0,No user reviews,0,0,0
8970,6,Mostly Positive,31,12,43
8980,8,Very Positive,20087,1365,21452
9500,5,Mixed,153,91,244
9880,6,Mostly Positive,1883,701,2584
9940,8,Very Positive,696,133,829
9970,3,Negative,5,24,29
10180,8,Very Positive,26250,2398,28648
10220,4,Mostly Negative,525,919,1444
10500,8,Very Positive,13232,1263,14495
10680,8,Very Positive,8114,981,9095
11240,5,Mixed,287,295,582
11280,8,Very Positive,811,113,924
11330,8,Very Positive,548,120,668
11340,6,Mostly Positive,493,149,642
12900,9,Overwhelmingly Positive,8586,351,8937
13000,8,Very Positive,48,4,52
13120,0,No user reviews,0,0,0
13140,5,Mixed,1457,679,2136
13210,8,Very Positive,2179,229,2408
15400,8,Very Positive,85,20,105
15500,6,Mostly Positive,393,135,528
15520,8,Very Positive,551,98,649
15540,4,Mostly Negative,142,322,464
15560,6,Mostly Positive,714,228,942
15620,8,Very Positive,5238,654,5892
15740,6,Mostly Positive,376,131,507
15750,8,Very Positive,682,117,799
15800,0,2 user reviews,1,1,2
16500,7,Positive,10,1,11
16600,8,Very Positive,165,33,198
17100,8,Very Positive,161,31,192
17120,8,Very Positive,47,10,57
17140,6,Mostly Positive,109,36,145
17180,6,Mostly Positive,15,6,21
17500,8,Very Positive,4607,715,5322
17570,8,Very Positive,3306,471,3777
17580,8,Very Positive,680,131,811
17710,6,Mostly Positive,1575,404,1979
17740,8,Very Positive,586,89,675
17760,0,No user reviews,0,0,0
18000,8,Very Positive,385,40,425
18020,8,Very Positive,116,20,136
18040,8,Very Positive,504,29,533
18050,8,Very Positive,120,18,138
18070,8,Very Positive,145,36,181
18310,0,No user reviews,0,0,0
18500,9,Overwhelmingly Positive,3268,104,3372
18600,5,Mixed,12,10,22
18700,5,Mixed,727,313,1040
18820,8,Very Positive,612,149,761
19020,5,Mixed,15,7,22
19030,6,Mostly Positive,64,18,82
19200,5,Mixed,214,177,391
19320,5,Mixed,6,7,13
19500,4,Mostly Negative,12,46,58
20200,4,Mostly Negative,6,10,16
20500,8,Very Positive,5896,620,6516
20570,8,Very Positive,1537,137,1674
20700,6,Mostly Positive,48,15,63
20710,8,Very Positive,55,11,66
20820,8,Very Positive,962,61,1023
20920,8,Very Positive,31185,3823,35008
21100,6,Mostly Positive,4782,1800,6582
21300,6,Mostly Positive,16,5,21
21400,5,Mixed,9,5,14
21640,6,Mostly Positive,108,33,141
21690,8,Very Positive,7310,1211,8521
22000,8,Very Positive,3180,204,3384
22200,8,Very Positive,1876,328,2204
22230,8,Very Positive,2419,210,2629
22310,5,Mixed,368,209,577
22350,5,Mixed,3049,2033,5082
22380,9,Overwhelmingly Positive,55309,2336,57645
22490,8,Very Positive,2525,482,3007
22500,8,Very Positive,125,16,141
22600,8,Very Positive,2278,384,2662
22610,6,Mostly Positive,687,272,959
22650,5,Mixed,432,204,636
22670,6,Mostly Positive,207,75,282
23130,0,7 user reviews,6,1,7
23140,7,Positive,17,1,18
23150,6,Mostly Positive,12,5,17
23530,8,Very Positive,702,69,771
24200,8,Very Positive,8966,2239,11205
24240,8,Very Positive,31919,2223,34142
24420,8,Very Positive,975,121,1096
24480,5,Mixed,172,156,328
25700,8,Very Positive,183,39,222
25730,0,No user reviews,0,0,0
26000,8,Very Positive,153,33,186
26300,4,Mostly Negative,11,29,40
26500,8,Very Positive,646,81,727
26800,8,Very Positive,6137,354,6491
27330,4,Mostly Negative,123,193,316
27600,7,Positive,21,2,23
