id,year,review_score,total_positive,total_negative,total_reviews,Players
220,2004,9,54855,1761,56616,8877286
300,2010,8,9014,937,9951,4419447
380,2006,8,6168,352,6520,3917529
400,2007,9,43124,794,43918,9971481
420,2007,9,11237,495,11732,3281382
500,2008,9,14637,731,15368,4604963
630,2010,9,16119,777,16896,6667813
1200,2006,8,1335,176,1511,849053
1250,2009,9,49902,2286,52188,7395545
1520,2006,8,1875,304,2179,708655
1530,2008,8,337,65,402,180479
1840,2012,8,11458,738,12196,1852569
2450,2010,6,598,179,777,118504
2820,2008,8,1523,239,1762,482728
2870,2013,5,2632,3838,6470,343046
3540,2008,8,315,20,335,181811
3590,2009,9,11809,297,12106,1647028
3620,2009,8,367,20,387,75495
3830,2006,9,7378,376,7754,1207186
4920,2012,8,7798,1337,9135,1993899
6120,2010,8,1551,186,1737,312665
6600,2007,5,36,32,68,41006
7520,2011,5,2754,1849,4603,703263
8190,2010,8,29030,2534,31564,4161156
8850,2010,8,7815,831,8646,1558279
8870,2013,9,69661,3237,72898,4563627
8970,2010,6,31,12,43,8860
9500,2007,5,153,91,244,176440
9880,2011,6,1883,701,2584,1691316
9970,2011,3,5,24,29,5660
10180,2009,8,26250,2398,28648,5267226
10220,2012,4,525,919,1444,84486
10500,2009,8,13232,1263,14495,3491439
10680,2010,8,8114,981,9095,1231126
11240,2008,5,287,295,582,68979
11280,2008,8,811,113,924,88249
11330,2009,8,548,120,668,65629
11340,2009,6,493,149,642,57562
12900,2008,9,8586,351,8937,1561882
13000,2008,8,48,4,52,19566
13140,2009,5,1457,679,2136,3014457
13210,2009,8,2179,229,2408,902895
15400,2009,8,85,20,105,34113
15500,2008,6,393,135,528,90431
15520,2009,8,551,98,649,148747
15560,2011,6,714,228,942,156626
15620,2009,8,5238,654,5892,2492053
15740,2010,6,376,131,507,108580
15750,2010,8,682,117,799,153101
16500,2008,7,10,1,11,3261
16600,2008,8,165,33,198,118998
17100,2008,8,161,31,192,48123
17120,2008,8,47,10,57,25293
17140,2008,6,109,36,145,29581
17180,2008,6,15,6,21,5953
17500,2008,8,4607,715,5322,2573292
17570,2010,8,3306,471,3777,1077057
17580,2009,8,680,131,811,410346
17710,2011,6,1575,404,1979,640448
17740,2008,8,586,89,675,174440
18000,2008,8,385,40,425,161617
18020,2008,8,116,20,136,64438
18040,2010,8,504,29,533,91932
18050,2010,8,120,18,138,30765
18070,2011,8,145,36,181,52893
18500,2008,9,3268,104,3372,558114
18600,2009,5,12,10,22,4016
18700,2009,5,727,313,1040,324236
18820,2010,8,612,149,761,795021
19020,2010,5,15,7,22,7589
19030,2010,6,64,18,82,9999
19200,2008,5,214,177,391,39071
19320,2012,5,6,7,13,2751
19500,2008,4,12,46,58,6247
20200,2008,4,6,10,16,5171
20500,2009,8,5896,620,6516,1010775
20570,2010,8,1537,137,1674,1285276
20700,2008,6,48,15,63,14750
20710,2008,8,55,11,66,31070
20820,2010,8,962,61,1023,255073
20920,2012,8,31185,3823,35008,4585616
21100,2011,6,4782,1800,6582,1096875
21300,2008,6,16,5,21,14840
21400,2008,5,9,5,14,7785
21640,2009,6,108,33,141,29726
21690,2009,8,7310,1211,8521,1005089
22000,2008,8,3180,204,3384,986510
22200,2009,8,1876,328,2204,320458
22230,2011,8,2419,210,2629,636120
22310,2009,5,368,209,577,44059
22350,2011,5,3049,2033,5082,1700604
22380,2010,9,55309,2336,57645,5222533
22500,2009,8,125,16,141,20588
22600,2010,8,2278,384,2662,1289109
22610,2010,6,687,272,959,199888
22650,2010,5,432,204,636,157346
22670,2010,6,207,75,282,57440
23150,2010,6,12,5,17,3440
23530,2011,8,702,69,771,87316
24200,2011,8,8966,2239,11205,2863993
24240,2011,8,31919,2223,34142,4944712
24420,2008,8,975,121,1096,163102
24480,2012,5,172,156,328,98328
25700,2009,8,183,39,222,281079
26000,2009,8,153,33,186,42072
26300,2009,4,11,29,40,7562
26500,2009,8,646,81,727,377806
26800,2009,8,6137,354,6491,1012406
27330,2010,4,123,193,316,60463
27600,2009,7,21,2,23,1938
27920,2010,5,87,91,178,227125
27940,2011,4,196,398,594,99822
28000,2010,5,2271,1480,3751,448371
29180,2009,8,820,98,918,413551
31280,2010,8,5506,833,6339,952378
31700,2008,8,304,51,355,74779
31980,2009,5,12,8,20,8543
32150,2009,8,299,6,305,19656
32160,2009,8,215,38,253,33774
32200,2009,5,76,44,120,34954
32410,2009,6,37,15,52,19433
32460,2010,9,1082,49,1131,288297
33390,2011,6,24,7,31,6783
33650,2010,8,284,38,322,35897
33660,2010,6,21,8,29,4418
33670,2010,5,161,123,284,86037
33680,2010,8,904,81,985,52081
33930,2010,8,16375,1305,17680,4514397
33980,2010,5,74,44,118,13367
34030,2010,8,7309,621,7930,2178916
34270,2010,8,1267,305,1572,1514485
34500,2009,7,31,7,38,10161
34830,2010,5,1759,1374,3133,934745
34870,2013,6,5362,2096,7458,1089080
34900,2009,6,9475,2723,12198,476787
34920,2010,4,47,149,196,23507
35130,2010,8,2309,194,2503,550882
35140,2010,9,17684,659,18343,2240464
35320,2012,8,292,58,350,28646
35450,2011,8,24118,1958,26076,3501161
35460,2010,6,578,192,770,186933
35480,2011,6,569,156,725,202488
35600,2009,5,43,35,78,16686
35700,2009,9,8516,351,8867,1604101
35720,2013,9,14968,588,15556,2791654
36000,2009,5,176,103,279,72409
37500,2009,6,32,9,41,10680
37800,2009,5,25,12,37,35950
38230,2010,5,54,77,131,36667
38600,2010,8,2071,192,2263,214039
38700,2010,8,1562,210,1772,352195
38720,2010,8,996,111,1107,248133
39110,2010,6,145,39,184,24628
39140,2013,8,10623,755,11378,1136100
39150,2013,8,4876,559,5435,581505
39160,2011,5,992,634,1626,638566
39800,2009,8,1944,247,2191,877968
40100,2010,8,4738,781,5519,1048307
40390,2012,6,2681,785,3466,713807
40400,2009,8,956,168,1124,371287
40420,2010,5,126,63,189,60328
40700,2009,9,4544,211,4755,609675
40800,2010,9,21448,1041,22489,2970487
40930,2010,8,319,38,357,127810
41000,2009,8,3374,220,3594,1025064
41070,2011,8,13693,1671,15364,2029621
41300,2009,8,1436,106,1542,1321782
41740,2011,6,252,64,316,37887
41900,2009,6,586,168,754,158667
42000,2011,5,8,5,13,3829
42120,2010,6,1293,470,1763,1107457
42140,2011,5,167,79,246,61329
42170,2012,5,412,309,721,179546
42500,2010,5,229,141,370,176883
42700,2010,8,12481,1532,14013,3759377
42910,2011,8,19454,1409,20863,4976290
42990,2012,5,323,425,748,108612
43000,2010,5,432,290,722,134789
43190,2011,8,464,69,533,69196
43600,2010,7,36,4,40,13164
44100,2010,8,73,9,82,35059
45000,2010,8,286,29,315,405082
45100,2010,8,1273,248,1521,145021
45300,2010,5,299,131,430,156274
45400,2010,8,764,66,830,87234
45410,2011,5,142,107,249,36605
45450,2011,8,442,42,484,71018
45730,2010,5,123,127,250,23630
45740,2010,6,2294,783,3077,627795
45770,2011,6,1142,315,1457,263656
46000,2010,6,71,29,100,50047
46450,2010,5,202,127,329,93777
46520,2011,5,158,117,275,32134
46570,2011,5,96,79,175,33667
46600,2010,6,39,12,51,21596
46770,2010,6,185,55,240,34741
47000,2010,8,524,85,609,38574
47540,2010,8,250,49,299,73522
48000,2011,8,27176,1657,28833,3207480
48700,2010,9,64072,1698,65770,4219791
48720,2011,8,5157,796,5953,1231509
48950,2010,8,392,61,453,167621
49300,2010,5,57,66,123,56215
49320,2010,5,29,25,54,16197
49330,2011,5,75,43,118,43817
49470,2011,8,720,93,813,377401
49600,2010,9,6028,292,6320,601573
49810,2011,8,105,23,128,16752
49900,2010,5,178,78,256,149111
50000,2010,8,180,10,190,39982
50130,2011,8,26419,1541,27960,2312872
50510,2010,5,57,85,142,58147
50620,2010,8,8038,906,8944,1683431
51060,2011,8,73,11,84,10000
55020,2010,5,39,28,67,11879
55040,2011,8,1385,164,1549,316352
55100,2011,5,4496,3003,7499,1182312
55110,2011,6,2451,886,3337,785298
55140,2010,8,1427,316,1743,307610
55150,2011,8,7279,574,7853,1099682
55230,2011,9,38409,1416,39825,5143189
57000,2010,8,83,9,92,24562
57200,2010,8,395,37,432,77794
57300,2010,8,17767,958,18725,2609222
57680,2011,6,421,177,598,56157
57690,2011,8,8081,724,8805,2000449
57700,2011,6,97,39,136,20891
57800,2010,5,73,86,159,62506
57900,2011,5,4097,2017,6114,886514
58200,2010,8,247,30,277,49520
58230,2012,8,79,15,94,26568
58400,2010,4,42,80,122,33305
58550,2011,4,192,399,591,168535
58610,2012,6,1766,510,2276,621393
60350,2011,8,67,9,76,14082
60600,2010,5,27,21,48,16997
60700,2010,4,9,25,34,6871
61100,2011,6,163,51,214,46438
61600,2010,8,415,58,473,114745
61700,2011,8,1191,108,1299,309591
61730,2012,8,245,13,258,32972
62000,2010,8,407,33,440,108722
62100,2010,8,581,38,619,106325
63000,2011,8,648,159,807,239813
63200,2011,6,709,192,901,708500
63700,2010,8,600,140,740,267116
63710,2011,8,2921,457,3378,647721
63940,2011,5,347,211,558,131229
64000,2011,8,2609,351,2960,409681
65300,2012,8,1519,197,1716,2490746
65400,2010,8,85,17,102,13158
65710,2010,8,253,48,301,17001
65800,2011,8,10202,847,11049,2483252
67000,2010,6,334,106,440,154963
67370,2012,8,9732,1009,10741,1145131
70000,2011,8,11018,2113,13131,2364083
70120,2011,4,157,282,439,118551
70300,2010,9,6175,233,6408,763558
70500,2010,6,31,12,43,14906
70600,2011,8,1760,235,1995,486841
70620,2011,8,360,79,439,132903
71230,2011,8,860,215,1075,148830
71240,2011,8,260,50,310,58500
71250,2011,8,2210,440,2650,291205
71260,2011,8,495,71,566,51418
71340,2011,8,5887,434,6321,647871
72000,2012,8,649,94,743,192454
72200,2011,8,2203,489,2692,752402
72400,2010,6,219,66,285,97328
72500,2010,5,35,38,73,8589
72900,2010,5,132,73,205,39498
73010,2011,6,576,161,737,237970
73060,2012,4,32,64,96,24228
78000,2010,9,2373,99,2472,295211
80000,2011,4,44,109,153,45758
80200,2011,6,258,65,323,81723
80310,2011,8,1141,114,1255,130615
80330,2012,8,789,96,885,79474
80340,2012,8,322,21,343,52347
80350,2012,8,258,14,272,49385
80360,2012,8,282,10,292,46844
90200,2010,8,312,54,366,99303
90500,2010,5,61,89,150,43341
91100,2011,8,725,87,812,120532
91200,2011,8,3132,420,3552,567765
91600,2011,8,2469,271,2740,2088528
91700,2011,8,4113,795,4908,768052
91800,2011,8,68,8,76,11099
91810,2011,6,19,7,26,7392
92000,2011,5,1241,776,2017,186396
92100,2011,5,1034,611,1645,341194
92200,2011,8,117,7,124,28454
92210,2011,8,130,25,155,26273
92220,2011,8,113,21,134,31444
92300,2011,6,561,236,797,107351
92600,2011,6,123,39,162,36670
92800,2011,8,3525,300,3825,682706
93200,2011,8,807,143,950,340794
94200,2011,9,1935,100,2035,413206
95000,2013,6,114,34,148,54626
95300,2011,6,682,195,877,246235
95900,2011,5,153,99,252,48356
96800,2012,5,165,95,260,404730
96900,2013,5,21,16,37,17482
97000,2011,8,1484,150,1634,339780
97330,2012,8,906,114,1020,452484
98200,2011,8,1952,399,2351,1065406
98300,2012,8,968,101,1069,213463
98400,2012,8,2970,548,3518,335265
98600,2011,8,196,49,245,88003
98800,2011,8,3799,218,4017,554550
98900,2011,5,126,75,201,15773
99100,2011,4,96,269,365,114696
99120,2011,5,30,18,48,3388
99200,2011,8,97,10,107,16240
99300,2011,8,1628,261,1889,297463
99400,2011,5,146,158,304,28250
99700,2011,8,713,93,806,223790
99900,2011,8,13847,2717,16564,5226655
99910,2011,8,922,212,1134,469196
102200,2011,6,251,76,327,72893
102400,2011,5,20,9,29,14275
102600,2011,9,5168,154,5322,1105153
102810,2011,8,81,18,99,24340
104000,2011,6,142,45,187,56863
104020,2012,6,87,35,122,18474
104900,2013,6,20385,6841,27226,4419554
105000,2012,6,898,291,1189,108523
105300,2011,6,282,73,355,67693
105420,2013,6,154,42,196,25827
105700,2011,5,70,47,117,31754
105800,2012,8,536,127,663,154398
107100,2011,9,25848,899,26747,2577876
107200,2011,8,2296,178,2474,753148
107410,2013,8,89908,9762,99670,6404450
107800,2011,8,1416,124,1540,211829
108200,2012,8,1262,227,1489,295151
108210,2011,5,169,100,269,163923
108500,2012,8,515,66,581,150153
108700,2012,6,357,147,504,370163
108710,2012,8,19943,1754,21697,1804210
109700,2011,5,53,30,83,11021
110500,2011,5,51,24,75,11517
110600,2011,5,27,26,53,10550
110610,2011,6,47,17,64,9532
110630,2012,5,23,15,38,6409
110800,2011,8,12349,1856,14205,1596369
111100,2012,8,340,75,415,89897
111300,2011,6,21,8,29,5726
111400,2011,5,181,199,380,160728
111600,2011,8,476,77,553,138384
111800,2011,6,536,148,684,210782
111900,2013,4,271,991,1262,205359
112100,2011,8,321,70,391,120153
113020,2013,8,6583,653,7236,2153213
113200,2011,9,40199,1673,41872,7172818
113400,2011,5,17657,10053,27710,5874946
113420,2012,5,3637,2788,6425,2139999
115100,2011,8,2459,177,2636,341308
115110,2012,8,1187,135,1322,248039
115120,2012,8,510,108,618,109286
116120,2011,6,106,28,134,23805
200010,2012,8,1107,196,1303,215834
200020,2011,5,116,169,285,19246
200130,2011,6,145,45,190,22225
200170,2012,8,3428,597,4025,1730275
200190,2011,5,65,39,104,24241
200210,2012,8,20195,3857,24052,3757613
200260,2012,9,22372,994,23366,2467996
200370,2012,5,266,154,420,81571
200410,2012,5,45,45,90,28307
200550,2011,4,60,102,162,74874
200710,2012,8,27172,1507,28679,4963949
200900,2011,9,4698,217,4915,590104
200910,2011,8,1095,165,1260,150501
200940,2012,8,1918,197,2115,241011
201420,2013,8,620,119,739,147483
201510,2011,1,236,1662,1898,126375
201570,2012,6,1366,430,1796,355611
202070,2012,8,178,37,215,32935
202130,2013,5,171,199,370,83551
202310,2012,5,476,400,876,133909
202370,2012,5,31,20,51,8726
202410,2012,8,103,20,123,28405
202530,2012,5,530,609,1139,144813
202730,2012,8,334,54,388,63976
202750,2012,6,3171,1257,4428,521355
202970,2012,8,22831,3964,26795,2998561
203140,2012,8,19955,2076,22031,2805822
203160,2013,9,77826,3230,81056,5495033
203210,2012,8,759,72,831,98665
203290,2013,6,5651,1655,7306,1823295
203350,2012,8,653,138,791,163165
203560,2012,8,197,44,241,29542
203650,2012,6,558,165,723,83454
203750,2012,8,3971,637,4608,306463
203770,2012,8,24221,3111,27332,3170312
203830,2012,8,1123,172,1295,188342
203990,2011,8,196,22,218,32140
204060,2012,6,1705,444,2149,439828
204100,2012,8,19080,3783,22863,1740909
204220,2012,6,155,63,218,108508
204240,2013,8,2636,331,2967,320817
204360,2012,9,42208,1596,43804,5555066
204440,2012,8,110,24,134,15198
204580,2012,7,21,4,25,4536
204760,2012,4,50,137,187,7091
204840,2012,5,47,48,95,21722
204860,2012,5,164,84,248,62294
204880,2012,8,7007,480,7487,1092043
205060,2012,5,63,47,110,32433
205070,2012,6,49,18,67,27186
205080,2013,5,62,39,101,28966
205100,2012,9,36528,1046,37574,3700352
205230,2012,8,2490,385,2875,415904
205530,2012,5,46,35,81,40835
205610,2012,5,422,186,608,203151
205650,2012,8,1399,249,1648,188089
205690,2012,6,220,60,280,22579
205730,2012,8,520,70,590,112625
205810,2012,5,103,69,172,53980
205830,2012,8,169,14,183,15944
205910,2012,8,3255,273,3528,360126
205950,2012,8,2892,517,3409,533153
206190,2013,9,9542,233,9775,702654
206210,2012,8,8363,1511,9874,2982059
206230,2012,5,24,15,39,2259
206370,2012,8,506,52,558,78881
