id,year,review_score,total_positive,total_negative,total_reviews,Players
227780,2019,8,1160,122,1282,167773
268650,2020,8,3298,397,3695,98801
268930,2019,6,50,20,70,2422
280720,2021,8,177,34,211,25465
285380,2019,5,170,110,280,9677
293220,2020,5,464,349,813,32618
293480,2020,4,77,122,199,18647
307880,2021,5,2942,2384,5326,399316
308080,2022,6,82,29,111,4348
311260,2022,5,1043,1005,2048,57840
315070,2020,4,23,89,112,33878
321400,2019,6,1191,335,1526,325150
322770,2019,8,2027,119,2146,107763
330580,2019,6,950,261,1211,115710
330830,2021,9,12881,575,13456,592856
336440,2019,8,171,9,180,8151
341570,2022,6,19,5,24,923
342310,2019,5,406,183,589,28754
345330,2019,8,93,17,110,5154
345430,2019,8,177,16,193,6242
346330,2022,5,1918,900,2818,774021
346970,2020,8,220,30,250,17232
351030,2022,6,732,298,1030,461488
351290,2019,5,3571,3213,6784,192819
352430,2019,5,103,56,159,7664
360430,2020,5,11148,11890,23038,855604
362890,2020,8,10666,604,11270,595780
363950,2019,8,124,8,132,3682
366000,2022,8,132,20,152,6179
369530,2020,8,156,14,170,8293
370770,2021,8,605,135,740,155749
374280,2021,5,1065,828,1893,36346
375480,2020,9,984,43,1027,38212
384960,2020,8,106,21,127,71688
389670,2020,6,271,89,360,9142
397160,2019,8,83,13,96,7053
405010,2021,8,461,65,526,16752
405530,2019,7,29,2,31,1052
405710,2019,6,805,248,1053,110066
408900,2020,8,119,19,138,3968
414080,2021,6,307,122,429,46174
418430,2022,4,5,11,16,7277
420290,2020,8,7673,953,8626,546456
420550,2021,8,80,19,99,4724
422860,2020,8,149,15,164,8126
424370,2020,6,1828,697,2525,169573
424850,2019,5,10,9,19,3917
428180,2019,8,269,67,336,13177
430070,2019,8,69,17,86,4852
437730,2019,7,22,2,24,481
438460,2022,7,25,3,28,479
439340,2019,6,230,85,315,19243
445220,2020,8,2545,255,2800,197511
450860,2020,5,101,86,187,12647
451600,2019,8,119,15,134,5561
458660,2021,7,32,4,36,3051
461400,2020,6,71,26,97,1406
465200,2020,8,191,15,206,11389
467060,2019,5,24,14,38,6614
470310,2020,8,305,26,331,5707
471710,2021,9,2476,105,2581,316036
474890,2020,6,31,10,41,2834
487000,2019,8,190,44,234,13437
487120,2019,5,1880,1058,2938,150665
489520,2019,8,4847,909,5756,656913
490280,2022,8,78,6,84,5099
492150,2020,6,214,63,277,17145
492340,2021,8,191,15,206,9206
498340,2019,5,50,25,75,5422
499660,2019,8,734,145,879,60274
501220,2019,5,27,19,46,3625
503180,2020,8,56,4,60,1940
503770,2022,8,208,24,232,17568
504050,2019,5,627,276,903,50888
508710,2021,6,19,8,27,939
511430,2020,5,40,21,61,4006
512900,2019,9,4163,208,4371,371171
513250,2019,7,27,1,28,1009
523070,2021,5,7,4,11,1705
525680,2022,8,114,11,125,6340
526130,2020,7,22,1,23,652
526160,2019,6,2268,792,3060,217654
538100,2019,8,1113,129,1242,96206
538990,2019,5,26,17,43,2132
550840,2021,8,777,117,894,25427
557580,2019,6,55,20,75,8049
559650,2020,8,1427,134,1561,161055
562730,2020,5,8,10,18,57016
563410,2021,7,10,1,11,225
573490,2019,8,141,20,161,10577
575850,2019,5,14,8,22,1060
576390,2019,4,5,10,15,38464
577230,2021,6,784,228,1012,33293
578210,2020,8,167,13,180,4683
578690,2020,7,12,1,13,325
579840,2019,6,47,15,62,4750
580820,2019,6,26,7,33,2227
582290,2020,5,6,8,14,23427
582330,2022,8,224,36,260,13332
582890,2020,8,243,55,298,16033
588120,2022,5,42,22,64,1189
589250,2020,7,29,5,34,1715
589670,2020,8,90,20,110,3013
591370,2019,8,537,93,630,53365
593600,2019,5,1949,1143,3092,256179
594130,2019,7,24,1,25,545
597170,2021,9,1177,40,1217,84077
598060,2020,8,128,14,142,5727
598330,2020,6,1079,296,1375,105710
604240,2019,8,320,45,365,19017
606800,2020,6,1119,310,1429,127687
611160,2020,8,155,8,163,7352
611770,2020,7,28,5,33,6891
611790,2022,8,1585,302,1887,209324
612930,2019,8,520,88,608,28865
622870,2019,8,89,5,94,17578
627690,2020,8,1855,431,2286,247248
632100,2019,5,14,8,22,316
638000,2019,8,110,6,116,14129
638850,2022,6,228,67,295,12477
640310,2020,4,32,60,92,2055
644290,2020,5,275,172,447,12034
644930,2019,8,8157,1302,9459,755147
648800,2022,8,5524,1208,6732,810826
650940,2019,8,55,3,58,2855
652050,2021,7,13,1,14,10680
657090,2019,8,55,8,63,2084
658630,2022,5,148,71,219,3540
662680,2020,7,18,1,19,542
664000,2021,8,47,7,54,1758
666140,2019,8,4488,342,4830,249441
666820,2019,7,38,5,43,2367
669320,2019,6,171,51,222,4549
671440,2019,8,360,79,439,33988
673130,2019,8,276,2,278,4774
673210,2021,6,47,20,67,2594
676760,2019,5,30,17,47,1277
676830,2019,7,14,1,15,575
677380,2019,7,21,2,23,3543
681280,2019,8,396,36,432,16951
681390,2020,8,266,23,289,15876
684580,2019,5,372,207,579,30627
685340,2019,6,193,49,242,18115
690120,2021,8,54,10,64,1253
690510,2019,6,520,147,667,20212
691390,2020,8,92,23,115,3754
693750,2019,5,57,32,89,4232
694480,2020,6,15,5,20,927
702890,2019,6,674,222,896,30089
706020,2019,6,230,93,323,11574
708970,2020,7,26,3,29,170
715660,2020,6,22,7,29,559
718650,2019,8,201,36,237,18941
722180,2021,8,109,21,130,3086
722660,2019,7,24,6,30,1578
733460,2021,8,52,10,62,7824
735060,2019,7,16,3,19,170
742460,2019,8,69,7,76,3534
744040,2019,7,17,4,21,437
746930,2019,8,543,108,651,34977
747850,2020,4,9,14,23,233
749540,2022,6,57,22,79,2589
766570,2021,5,310,170,480,61943
769110,2019,5,13,14,27,592
773540,2019,6,18,5,23,810
777430,2019,7,14,3,17,980
778840,2019,7,24,1,25,17430
785660,2020,5,17,22,39,1832
794860,2019,7,21,2,23,586
806860,2020,5,48,21,69,2517
809140,2019,8,273,29,302,16764
809540,2022,7,21,5,26,899
812070,2021,7,26,5,31,457
820610,2019,7,33,5,38,919
828350,2019,6,11,3,14,122
833030,2019,7,12,2,14,430
839300,2019,7,21,4,25,599
872680,2019,7,16,4,20,604
